instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,01/01/2011,1,0,1,0,6,0,2,14.11,18.18,80.58,10.75,331,654,985
2,02/01/2011,1,0,1,0,0,0,2,14.9,17.69,69.61,16.65,131,670,801
3,03/01/2011,1,0,1,0,1,1,1,8.05,9.47,43.73,16.64,120,1229,1349
4,04/01/2011,1,0,1,0,2,1,1,8.2,10.61,59.04,10.74,108,1454,1562
5,05/01/2011,1,0,1,0,3,1,1,9.31,11.46,43.7,12.52,82,1518,1600
6,06/01/2011,1,0,1,0,4,1,1,8.38,11.66,51.83,6,88,1518,1606
7,07/01/2011,1,0,1,0,5,1,2,8.06,10.44,49.87,11.3,148,1362,1510
8,08/01/2011,1,0,1,0,6,0,2,6.77,8.11,53.58,17.88,68,891,959
9,09/01/2011,1,0,1,0,0,0,1,5.67,5.81,43.42,24.25,54,768,822
10,10/01/2011,1,0,1,0,1,1,1,6.18,7.54,48.29,14.96,41,1280,1321
11,11/01/2011,1,0,1,0,2,1,2,6.93,9.57,68.64,8.18,43,1220,1263
12,12/01/2011,1,0,1,0,3,1,1,7.08,8.02,59.95,20.41,25,1137,1162
13,13/01/2011,1,0,1,0,4,1,1,6.77,7.54,47.04,20.17,38,1368,1406
14,14/01/2011,1,0,1,0,5,1,1,6.6,9.42,53.78,8.48,54,1367,1421
15,15/01/2011,1,0,1,0,6,0,2,9.57,12.41,49.88,10.58,222,1026,1248
16,16/01/2011,1,0,1,0,0,0,1,9.5,11.71,48.38,12.63,251,953,1204
17,17/01/2011,1,0,1,1,1,0,2,7.21,8.84,53.75,13,117,883,1000
18,18/01/2011,1,0,1,0,2,1,2,8.88,11.62,86.17,9.83,9,674,683
19,19/01/2011,1,0,1,0,3,1,2,11.98,14.92,74.17,13.96,78,1572,1650
20,20/01/2011,1,0,1,0,4,1,2,10.73,12.75,53.83,13.13,83,1844,1927
21,21/01/2011,1,0,1,0,5,1,1,7.28,7.89,45.71,23.67,75,1468,1543
22,22/01/2011,1,0,1,0,6,0,1,2.42,3.95,40,11.52,93,888,981
23,23/01/2011,1,0,1,0,0,0,1,3.96,4.94,43.65,16.52,150,836,986
24,24/01/2011,1,0,1,0,1,1,1,3.99,5.9,49.17,10.61,86,1330,1416
25,25/01/2011,1,0,1,0,2,1,2,9.16,11.73,61.7,8.7,186,1799,1985
26,26/01/2011,1,0,1,0,3,1,3,8.92,10.18,86.25,19.69,34,472,506
27,27/01/2011,1,0,1,0,4,1,1,8,10.99,68.75,7.63,15,416,431
28,28/01/2011,1,0,1,0,5,1,2,8.34,11.17,79.3,8.26,38,1129,1167
29,29/01/2011,1,0,1,0,6,0,1,8.06,10.61,65.17,9.74,123,975,1098
